source_headword	CS	example_CS
hunt	hledat	Na podzim hledají houby.
hurricane	hurikán	Hurikán poškodil mnoho domů.
hurry	spěch	Dnes není žádný spěch.
identity	identita	Její identita zůstala tajná.
ignore	ignorovat	Neignoruj toto varování.
illegal	nelegální	Parkovat zde je nelegální.
imaginary	imaginární	Příběh má imaginární ostrov.
immediate	okamžitý	Potřebujeme okamžitou odpověď.
immigrant	přistěhovalec	Přistěhovalec se rychle naučil anglicky.
impact	dopad	Zpráva měla silný dopad.
import	dovážet	Země bude dovážet více rýže.
importance	důležitost	Pochopila důležitost spánku.
impression	dojem	Jeho první dojem byl pozitivní.
impressive	působivý	Muzeum má působivý vchod.
improvement	zlepšení	Tento měsíc nastalo jasné zlepšení.
incredibly	neuvěřitelně	Test byl neuvěřitelně těžký.
indeed	skutečně	Byl to skutečně zvláštní den.
indicate	ukázat	Značka ukáže východ.
indirect	nepřímý	Dala nepřímou odpověď.
indoor	vnitřní	Hotel má vnitřní bazén.
indoors	uvnitř	Během bouře jsme zůstali uvnitř.
influence	vliv	Jeho učitel měl silný vliv.
ingredient	ingredience	Mouka je hlavní ingredience.
injure	zranit	Nezraň si záda.
injured	zraněný	Zraněný hráč opustil hřiště.
innocent	nevinný	Dítě vypadalo úplně nevinně.
intelligence	inteligence	Ve třídě ukázala velkou inteligenci.
intend	zamýšlet	Zamýšlím studovat v zahraničí.
intention	záměr	Jeho záměrem bylo pomoci.
invest	investovat	Investují peníze do vzdělání.
investigate	vyšetřit	Policie vyšetří nehodu.
involved	zapojený	Několik studentů bylo zapojeno.
iron	železo	Brána je vyrobena ze železa.
issue	problém	Tohle je vážný problém.
IT	IT	Pracuje v IT.
journal	deník	Píše si deník.
judge	soudce	Soudce pozorně poslouchal.
keen	dychtivý	Je dychtivá učit se.
keyboard	klávesnice	Moje klávesnice přestala fungovat.
kick	kopnout	Kopni do míče jemně.
killing	zabití	Zabití šokovalo vesnici.
kind (caring)	laskavý	To byla laskavá věc.
kiss	polibek	Dala dítěti polibek.
label	štítek	Před použitím si přečti štítek.
laboratory	laboratoř	Laboratoř je dnes zavřená.
lack	nedostatek	Nedostatek spánku škodí paměti.
latest	nejnovější	Četl jsi nejnovější zprávu?
lay	položit	Polož knihu na stůl.
layer	vrstva	Přidej další vrstvu barvy.
leading	přední	Je přední vědkyně.
leaf	list	List spadl na můj kabát.
leather	kůže	Jeho taška je z kůže.
legal	právní	Potřebujeme právní radu.
leisure	volný čas	Čtení je moje oblíbená činnost ve volném čase.
length	délka	Změř délku pokoje.
lie2 (tell a lie)	lhát	Nelži svým rodičům.
limit	limit	Rychlostní limit je padesát.
lip	ret	Kousla se do rtu.
liquid	kapalina	Voda je čirá kapalina.
literature	literatura	Studuje francouzskou literaturu.
live2	živě	Kapela hrála včera večer živě.
living	živý	Živé rostliny potřebují světlo.
locate	najít	Můžeš najít soubor?
located	umístěný	Kancelář je umístěná v centru.
location	poloha	Tohle je dobrá poloha.
lonely	osamělý	Po přestěhování se cítil osamělý.
loss	ztráta	Ztráta byla těžká pro všechny.
luxury	luxus	Hotel nabízí skutečný luxus.
mad	naštvaný	Byla naštvaná kvůli zpoždění.
magic	kouzlo	Představení bylo plné kouzel.
mainly	hlavně	Skupina je hlavně ze studentů.
mall	nákupní centrum	Setkali jsme se v nákupním centru.
management	řízení	Dobré řízení šetří čas.
marketing	marketing	Marketing pomáhá prodávat produkt.
marriage	manželství	Jejich manželství trvalo třicet let.
meanwhile	mezitím	Mezitím jsem vařil večeři.
measure	změřit	Změř stůl pečlivě.
medium	střední	Objednal jsem si střední pizzu.
mental	duševní	Stres ovlivňuje duševní zdraví.
mess	nepořádek	Ukliď tenhle nepořádek.
mild	mírný	Polévka má mírnou chuť.
mine (hole in the ground)	důl	Důl se loni zavřel.
mix	smíchat	Smíchej vejce s mlékem.
mixture	směs	Směs zhoustla.
mood	nálada	Hudba změnila její náladu.
mud	bláto	Jeho boty byly pokryté blátem.
murder	vražda	Vražda se stala v noci.
muscle	sval	Cvičení buduje svaly.
mystery	záhada	Starý dům je záhada.
nail	nehet	Zlomil jsem si nehet.
narrative	vyprávění	Román má jasné vyprávění.
nation	národ	Celý národ slavil.
native	mateřský jazyk	Španělština je její mateřský jazyk.
naturally	přirozeně	Děti se učí přirozeně hrou.
necessarily	nutně	Drahé jídlo není nutně lepší.
needle	jehla	Jehla je velmi ostrá.
neighbourhood	čtvrť	Žijí v klidné čtvrti.
net	síť	Rybář opravil svou síť.
nor	ani	Ani se neusmál, ani nepromluvil.
northern	severní	Navštívili severní pobřeží.
nuclear	jaderný	Debata byla o jaderné energii.
obvious	zřejmý	Odpověď byla zřejmá.
obviously	zjevně	Zjevně potřebujeme více času.
occasion	příležitost	Tohle je zvláštní příležitost.
occur	stát se	Nehody se mohou stát kdekoli.
odd	zvláštní	To byla zvláštní otázka.
official	oficiální	Oficiální výsledek dorazil dnes.
old-fashioned	staromódní	Její telefon vypadá staromódně.
operation	operace	Operace trvala dvě hodiny.
organized	organizovaný	Její stůl je velmi organizovaný.
organizer	organizátor	Organizátor přivítal hosty.
originally	původně	Původně pocházela z Kanady.
ought modal	měl by	Měl bys odpočívat.
ours	náš	Tenhle stůl je náš.
outdoor	venkovní	Koupili jsme venkovní nábytek.
outdoors	venku	Děti by si měly hrát venku.
package	balík	Balík dorazil dnes ráno.
painful	bolestivý	Řez byl bolestivý.
pale	bledý	Jeho tvář vypadala bledě.
pan	pánev	Nejprve rozehřej pánev.
participate	účastnit se	Každý se může účastnit.
particularly	zvláště	Tahle píseň se mi zvláště líbí.
passion	vášeň	Hudba je její vášeň.
path	cesta	Následuj cestu parkem.
payment	platba	Platba je splatná zítra.
peaceful	klidný	Zahrada je klidná.
percentage	procento	Malé procento souhlasilo.
perfectly	dokonale	Plán fungoval dokonale.
performance	výkon	Její výkon byl výborný.
personally	osobně	Osobně dávám přednost čaji.
persuade	přesvědčit	Můžeš ho přesvědčit, aby se přidal?
photographer	fotograf	Fotograf pořídil mnoho snímků.
photography	fotografie	Fotografie je jeho oblíbený koníček.
pin	špendlík	Dej špendlík na mapu.
pipe	potrubí	Potrubí vede vodu.
planning	plánování	Plánování zabírá čas.
pleasant	příjemný	Měli jsme příjemný večer.
pleasure	potěšení	Bylo potěšení tě poznat.
plenty	dostatek	Máme dostatek času.
plot	zápletka	Zápletku bylo snadné sledovat.
plus1	plus	Dvě plus tři je pět.
poem	báseň	Napsala krátkou báseň.
poet	básník	Básník četl nahlas.
poetry	poezie	Má rád moderní poezii.
poison	jed	Drž jed mimo dosah dětí.
poisonous	jedovatý	Některé houby jsou jedovaté.
policy	politika	Společnost změnila svou politiku.
political	politický	Projev byl politický.
politician	politik	Politik odpověděl na otázky.
politics	politika	Politika může být složitá.
port	přístav	Loď vplula do přístavu.
portrait	portrét	Portrét visí v hale.
possibly	možná	Možná dorazí pozdě.
pot	květináč	Rostlina potřebuje větší květináč.
pour	nalít	Nalij mléko pomalu.
poverty	chudoba	Mnoho rodin žije v chudobě.
powder	prášek	Přidej prášek do vody.
powerful	silný	Motor je silný.
practical	praktický	Tohle je praktické řešení.
pray	modlit se	Modlí se každé ráno.
prayer	modlitba	Řekla tichou modlitbu.
prediction	předpověď	Jeho předpověď byla správná.
prepared	připravený	Jsem připravený na zkoušku.
presentation	prezentace	Její prezentace byla jasná.
press	stisknout	Stiskni tlačítko jednou.
pressure	tlak	Tlak může ovlivnit tvé zdraví.
pretend	předstírat	Nepředstírej, že spíš.
previous	předchozí	Předchozí lekce byla lehčí.
previously	dříve	Dříve jsme žili v Římě.
priest	kněz	Kněz mluvil tiše.
primary	hlavní	Zdraví je naše hlavní starost.
prince	princ	Princ navštívil školu.
princess	princezna	Princezna měla modré šaty.
printing	tisk	Tisk zprávy trval několik minut.
prisoner	vězeň	Vězeň v noci utekl.
private	soukromý	Tohle je soukromý rozhovor.
producer	producent	Producentovi se film líbil.
production	výroba	Výroba začne příští týden.
profession	profese	Učitelství je respektovaná profese.
profit	zisk	Obchod dosáhl zisku.
promote	podporovat	Podporují zdravé stravování.
proper	vhodný	Na túru si vezmi vhodné boty.
properly	pořádně	Zavři dveře pořádně.
property	nemovitost	Koupili nemovitost u řeky.
protest	protest	Protest skončil pokojně.
proud	hrdý	Byla hrdá na svého syna.
prove	dokázat	Můžeš dokázat svou odpověď?
punish	potrestat	Učitel ho nepotrestal.
punishment	trest	Trest se zdál spravedlivý.
qualification	kvalifikace	Na tuto práci potřebuješ kvalifikaci.
qualified	kvalifikovaný	Je kvalifikovaná zdravotní sestra.
qualify	kvalifikovat se	Náš tým se může kvalifikovat.
queue	fronta	Čekali jsme v dlouhé frontě.
quit	přestat	Rozhodl se přestat kouřit.
quotation	citát	Esej začíná citátem.
quote	citovat	Mohu citovat tvá slova?
race (people)	etnicita	Formulář se ptá na etnicitu.
racing	dostihy	Dostihy jsou tam populární.
range	sortiment	Obchod prodává široký sortiment.
rare	vzácný	Tenhle pták je vzácný.
rarely	zřídka	Zřídka jíme venku.
reaction	reakce	Její reakce mě překvapila.
reality	realita	Realita byla jiná než jeho sen.
receipt	účtenka	Uschovej si účtenku.
recommendation	doporučení	Děkuji za doporučení.
reference	odkaz	Přidej na konec odkaz.
reflect	odrážet	Zrcadlo může odrážet světlo.
regularly	pravidelně	Pravidelně cvičí.
reject	odmítnout	Mohou nabídku odmítnout.
relate	ztotožnit se	Dokážu se s tím příběhem ztotožnit.
related	související	Tyto dva problémy spolu souvisejí.
relation	vztah	Je mezi nimi vztah.
relative	relativní	Rychlost je relativní.
relaxed	uvolněný	Po večeři se cítil uvolněně.
relaxing	uklidňující	Hudba byla uklidňující.
release	vydat	Brzy vydají ten film.
reliable	spolehlivý	Tento autobus je obvykle spolehlivý.
religion	náboženství	Náboženství je pro ni důležité.
religious	náboženský	Navštívili náboženskou budovu.
remain	zůstat	Prosím zůstaň klidný.
remind	připomenout	Připomeň mi to zítra.
remote	odlehlý	Žijí v odlehlé vesnici.
rent	nájem	Nájem je splatný dnes.
repeated	opakovaný	Opakované chyby zpomalily práci.
represent	představovat	Hvězda představuje naději.
require	vyžadovat	Tato práce vyžaduje školení.
reservation	rezervace	Udělal jsem rezervaci.
resource	zdroj	Knihovna je užitečný zdroj.
respect	respektovat	Respektuj své spolužáky.
responsibility	odpovědnost	Péče o děti je velká odpovědnost.
responsible	odpovědný	Je odpovědná za lístky.
retire	odejít do důchodu	Můj otec brzy odejde do důchodu.
retired	v důchodu	Je učitel v důchodu.
revise	přepracovat	Dnes večer přepracuj svou esej.
risk	riziko	Hrozí riziko deště.
robot	robot	Robot vyčistil podlahu.
roll	kutálet	Kutálej míč ke mně.
romantic	romantický	Měli romantickou večeři.
rope	lano	Pevně svaž lano.
rough	nerovný	Cesta byla nerovná.
row1	řada	Posaď se do přední řady.
royal	královský	Královská rodina dorazila.
rugby	ragby	Sledovali jsme ragby v televizi.
safety	bezpečnost	Bezpečnost je v práci důležitá.
sailor	námořník	Námořník opravil loď.
sample	vzorek	Sestra odebrala vzorek krve.
sand	písek	Písek pokryl moje boty.
scan	naskenovat	Nejprve naskenuj dokument.
scientific	vědecký	Tohle je vědecká metoda.
script	scénář	Herec četl scénář.
sculpture	socha	Socha stojí venku.
secondary	sekundární	Tohle je sekundární problém.
security	bezpečnost	Bezpečnost zkontrolovala naše tašky.
seed	semeno	Zasaď semeno do půdy.
sensible	rozumný	To je rozumný nápad.
seriously	vážně	Ber tento problém vážně.
servant	sluha	Sluha otevřel dveře.
set (put)	položit	Polož sklenici na stůl.
set (group)	sada	Tato sada obsahuje šest šálků.
setting	prostředí	Příběh má městské prostředí.
sex	pohlaví	Formulář se ptá na věk a pohlaví.
sexual	sexuální	Třída diskutovala o sexuálním zdraví.
sharp	ostrý	Tento nůž je ostrý.
shelf	police	Polož knihu na polici.
shell	skořápka	Skořápka byla prázdná.
shift	směna	Moje směna začíná v osm.
shine	zářit	Hvězdy v noci září.
shiny	lesklý	Její boty jsou lesklé.
shoot	fotografovat	Fotograf bude fotografovat scénu.
shy	stydlivý	Je stydlivý před cizími lidmi.
sight	pohled	Hora byla krásný pohled.
signal	signál	Signál byl slabý.
silent	tichý	Místnost ztichla.
silly	hloupý	To byla hloupá chyba.
similarity	podobnost	Je tam jasná podobnost.
similarly	podobně	Druhý plán funguje podobně.
simply	jednoduše	Jednoduše stiskni toto tlačítko.
sink	klesnout	Těžké kameny rychle klesnou.
slice	plátek	Snědl jsem plátek dortu.
slightly	trochu	Pokoj je trochu teplejší.
smart	elegantní	Měla na sobě elegantní sako.
smooth	hladký	Cesta je hladká.
software	software	Software potřebuje aktualizaci.
soil	půda	Půda je suchá.
solid	pevný	Zeď je pevná.
southern	jižní	Žijí na jižním pobřeží.
specifically	konkrétně	Konkrétně jsem požádal o čaj.
spending	výdaje	Vládní výdaje vzrostly.
spicy	pikantní	Tohle kari je pikantní.
spirit	duch	Tým ukázal silného ducha.
spoken	mluvený	Mluvená angličtina se zlepšuje praxí.
spot	místo	Toto místo je dokonalé.
spread	namazat	Namaž máslo na chleba.
stadium	stadion	Stadion byl plný.
staff	personál	Personál byl ochotný.
standard	úroveň	Úroveň byla vysoká.
statistic	statistika	Tato statistika je překvapivá.
statue	socha	Socha stojí na náměstí.
stick (push into/attach)	přilepit	Přilep štítek na krabici.
stick (piece of wood)	klacek	Zvedl klacek.
