source_headword	AZ	example_AZ
strengthen	gücləndirmək	Yeni siyasət onlayn təhlükəsizliyi gücləndirəcək.
strictly	qəti şəkildə	Biletlər adambaşına iki ədədlə qəti şəkildə məhdudlaşdırılır.
striking	çarpıcı	Rəsmin çarpıcı rəngləri var.
stroke	yaxma	O, kağız üzərində bir yaxma çəkdi.
stunning	heyrətamiz	Dağ mənzərəsi heyrətamiz idi.
subsequent	sonrakı	Sonrakı iclas büdcəni təsdiqlədi.
subsequently	daha sonra	Yol bağlandı, daha sonra nəqliyyat yavaş hərəkət etdi.
suburb	şəhərətrafı	Onlar sakit bir şəhərətrafı qəsəbədə yaşayırlar.
suffering	əzab	Dərman onun əzabını azaltdı.
sufficient	kifayət qədər	Komandanın kifayət qədər vaxtı var.
sufficiently	kifayət qədər	Otaq kifayət qədər istidir.
super	super	Yeni planşet super sürətlidir.
surgeon	cərrah	Cərrah zədələnmiş dizi bərpa etdi.
survival	sağ qalma	Təmiz su sağ qalmaq üçün vacibdir.
survivor	sağ qalan	Sağ qalan şəxs daşqını təsvir etdi.
suspend	dayandırmaq	Məktəb səfəri dayandıra bilər.
sustainable	davamlı	Ferma davamlı üsullardan istifadə edir.
swallow	udmaq	Həbi su ilə udun.
sympathetic	anlayışlı	Menecer onun probleminə anlayışla yanaşdı.
tackle	həll etmək	Mənzil problemini həll etməliyik.
tag	etiket	Çantanın qiymət etiketi var idi.
tap	kran	O, kranı bağladı.
technological	texnoloji	Texnoloji dəyişiklik hər bir iş yerinə təsir edir.
teens	yeniyetmələr	Bir çox yeniyetmə sosial mediadan gündəlik istifadə edir.
temple	məbəd	Məbəd çayın yaxınlığında yerləşirdi.
temporarily	müvəqqəti olaraq	Ofis müvəqqəti olaraq bağlıdır.
tendency	meyil	Onun gecikmə meyili var.
tension	gərginlik	Müzakirə zamanı gərginlik artdı.
terms	şərtlər	Müqavilə şərtləri aydın idi.
terribly	dəhşətli dərəcədə	Uşaq dəhşətli dərəcədə məyus idi.
terrify	dəhşətə gətirmək	Uca səslər iti dəhşətə gətirir.
territory	ərazi	Xəritə yeni ərazini göstərir.
terror	dəhşət	Hücumdan sonra dəhşət yayıldı.
terrorism	terrorizm	Terrorizm ictimai təhlükəsizliyi təhdid edir.
terrorist	terrorçu	Polis dünən terrorçunu həbs etdi.
testing	sınaq	Məhsulun sınağı bazar ertəsi başlayır.
textbook	dərslik	O, biologiya dərsliyini unutdu.
theft	oğurluq	Bölgədə oğurluq artdı.
therapist	terapevt	Terapevt ona narahatlığın öhdəsindən gəlməyə kömək etdi.
thesis	dissertasiya	Onun dissertasiyası onlayn öyrənməni araşdırır.
thorough	hərtərəfli	Hərtərəfli baxış heç bir səhv tapmadı.
thoroughly	hərtərəfli	Yaranı hərtərəfli təmizləyin.
thumb	baş barmaq	O, razılığını bildirmək üçün baş barmağını qaldırdı.
timing	vaxtın seçilməsi	Zəngin vaxtı mükəmməl idi.
tissue	salfet	O, stəkanı salfetlə sildi.
ton	ton	Yük maşını bir ton qum daşıyırdı.
tonne	ton	Yükün çəkisi bir ton idi.
tournament	turnir	Tennis turniri sabah başlayır.
trace	izləmək	Alimlər virusun mənbəyini izləyə bilərlər.
trading	ticarət	Birja ticarəti günorta dayandı.
tragedy	faciə	Qəza dəhşətli bir faciə idi.
tragic	faciəvi	Qəzanın faciəvi nəticələri oldu.
trait	xüsusiyyət	Səbir faydalı bir xüsusiyyətdir.
transmit	ötürmək	Ağcaqanadlar xəstəlik ötürə bilər.
transportation	nəqliyyat	İctimai nəqliyyat bu gün basabasdır.
trap	tələyə salmaq	Qutu həşəratları təhlükəsiz şəkildə tələyə sala bilər.
treasure	xəzinə	Köhnə sandıqda xəzinə var idi.
tribe	qəbilə	Qəbilə öz adətlərini qorudu.
trigger	işə salmaq	Tüstü siqnalizasiyanı işə sala bilər.
trillion	trilyon	Borc bir trilyon dollara çatdı.
troop	qoşun	Qoşun sərhədə doğru hərəkət etdi.
tsunami	sunami	Sunami sahil evlərini dağıtdı.
ultimate	son	Son məqsəd sülhdür.
unacceptable	qəbuledilməz	Gecikmə sərnişinlər üçün qəbuledilməz idi.
uncertainty	qeyri-müəyyənlik	Qeyri-müəyyənlik investorları narahat edirdi.
undergo	məruz qalmaq	Xəstə sabah əməliyyat keçirəcək.
undertake	öhdəsinə götürmək	Komanda bir sorğu keçirəcək.
unfold	cərəyan etmək	Dram yavaş-yavaş cərəyan etməyə başladı.
unfortunate	təəssüf doğuran	Səhv təəssüf doğuran idi, lakin düzəldilə bilərdi.
unite	birləşdirmək	Liderlər partiyanı birləşdirməyə çalışdılar.
unity	birlik	Çıxış milli birliyə çağırırdı.
universal	universal	Tətbiq universal dizayndan istifadə edir.
urgent	təcili	Xəstəxanaya təcili zəng gəldi.
usage	istifadə	Bələdçi düzgün istifadəni izah edir.
useless	faydasız	Sınıq şarj cihazı faydasızdır.
valid	etibarlı	Pasportunuz hələ də etibarlıdır.
variation	dəyişiklik	Qiymətlərdə geniş fərqlər var.
vertical	şaquli	Qrafikin şaquli oxu var.
viewpoint	nöqteyi-nəzər	Onun nöqteyi-nəzəri debatdan sonra dəyişdi.
visa	viza	O, tələbə vizası üçün müraciət etdi.
visible	görünən	İşarə buradan görünür.
voluntary	könüllü	Kursa könüllü seminarlar daxildir.
voting	səsvermə	Erkən səsvermə gələn həftə başlayır.
wander	gəzmək	Turistlər köhnə bazarda gəzirlər.
warming	istiləşmə	Qlobal istiləşmə dəniz səviyyəsinə təsir edir.
weekly	həftəlik	Komanda həftəlik iclas keçirir.
weird	qəribə	Səs qəribə gəlirdi.
welfare	rifah	Proqram uşaq rifahını dəstəkləyir.
wheat	buğda	Fermer buğda yetişdirir.
whoever	kim	Kim birinci gəlsə, çöldə gözləməlidir.
widespread	geniş yayılmış	Fırtına genişmiqyaslı ziyan vurdu.
wisdom	müdriklik	Nənəsi praktik müdrikliyini bölüşdü.
withdraw	geri götürmək	O, ərizəsini geri götürmək qərarına gəldi.
workforce	işçi qüvvəsi	İşçi qüvvəsinin yeni bacarıqlara ehtiyacı var.
workplace	iş yeri	İş yerinin aydın təhlükəsizlik qaydaları var.
workshop	seminar	Seminar saat onda başlayır.
worm	qurd	Qurd torpaq üzərində hərəkət etdi.
wrist	bilək	O, biləyini incitdi.
